지점,일시,풍속(m/s),최대순간풍속(m/s),해면기압(hPa),최대파고(m),유의파고(m)
984,2020-11-03 18:00,4.6,5.9,1018.6,,
984,2020-11-03 19:00,5,6.2,1019.9,,
984,2020-11-03 20:00,8.2,9.2,1020.2,,
984,2020-11-03 21:00,6.7,8.4,1020.4,,
984,2020-11-03 22:00,6,9.3,1020.9,,
984,2020-11-03 23:00,9.4,10.9,1021.7,,
984,2020-11-04 00:00,6.8,7.6,1021.4,,
984,2020-11-04 01:00,9.5,11.8,1021.1,,
984,2020-11-04 02:00,9.3,10.4,1021.7,,
984,2020-11-04 03:00,11.1,12.5,1021.5,,
984,2020-11-04 04:00,8.7,10.4,1021.9,,
984,2020-11-04 05:00,10,11.1,1022.2,,
984,2020-11-04 06:00,13.2,15.2,1022.1,,
984,2020-11-04 07:00,8.2,10.1,1023.1,,
984,2020-11-04 08:00,9.7,14.2,1023.3,,
984,2020-11-04 09:00,6.8,8,1024,,
984,2020-11-04 10:00,5.7,7.2,1024,,
984,2020-11-04 11:00,5.6,6.8,1023.6,,
984,2020-11-04 12:00,4.4,5.8,1022.8,,
984,2020-11-04 13:00,5.5,6.9,1021.7,,
984,2020-11-04 14:00,5.6,7.7,1021.4,,
984,2020-11-04 15:00,6.4,7,1021.4,,
984,2020-11-04 16:00,7.6,8.3,1021.8,,
984,2020-11-04 17:00,5.8,6.2,1022.3,,
984,2020-11-04 18:00,5.3,6,1023.2,,
984,2020-11-04 19:00,3,3.6,1023.6,,
984,2020-11-04 20:00,5.3,6,1024.1,,
984,2020-11-04 21:00,4.6,4.9,1024.3,,
984,2020-11-04 22:00,4.4,4.9,1024.6,,
984,2020-11-04 23:00,6.1,6.6,1024.5,,
984,2020-11-05 00:00,5.1,5.8,1024.7,,
984,2020-11-05 01:00,4.7,6.2,1024.9,,
984,2020-11-05 02:00,3.9,4.4,1025.1,,
984,2020-11-05 03:00,1.5,1.7,1025.3,,
984,2020-11-05 04:00,1,1.6,1024.9,,
984,2020-11-05 05:00,4.6,4.9,1025.1,,
984,2020-11-05 06:00,3.7,4.4,1025.3,,
984,2020-11-05 07:00,1.7,2.8,1025.7,,
984,2020-11-05 08:00,2.1,2.5,1026.6,,
984,2020-11-05 09:00,1.4,1.7,1027.8,,
984,2020-11-05 10:00,.1,.3,1028,,
984,2020-11-05 11:00,.5,.9,1028.4,,
984,2020-11-05 12:00,1.3,2.1,1027.7,,
984,2020-11-05 13:00,1.9,2.6,1027,,
984,2020-11-05 14:00,1,1.4,1026.1,,
984,2020-11-05 15:00,1.4,2.1,1026,,
984,2020-11-05 16:00,1,1.2,1025.5,,
984,2020-11-05 17:00,,.2,1025.5,,
984,2020-11-05 18:00,1.4,1.6,1025.6,,
984,2020-11-05 19:00,.9,1.1,1026.1,,
984,2020-11-05 20:00,.5,.8,1026.1,,
984,2020-11-05 21:00,2.2,2.5,1026.3,,
984,2020-11-05 22:00,2.5,2.9,1026.5,,
984,2020-11-05 23:00,2.2,2.5,1026.4,,
984,2020-11-06 00:00,.5,.7,1026.1,,
984,2020-11-06 01:00,2.5,2.6,1025.7,,
984,2020-11-06 02:00,.7,.9,1025,,
984,2020-11-06 03:00,3.1,3.4,1024.7,,
984,2020-11-06 04:00,1.1,1.4,1024.3,,
984,2020-11-06 05:00,2.7,2.8,1024.1,,
984,2020-11-06 06:00,2,2.3,1023.8,,
984,2020-11-06 07:00,2.3,2.5,1023.6,,
984,2020-11-06 08:00,3.5,3.9,1023.9,,
984,2020-11-06 09:00,2.9,3.1,1023.8,,
984,2020-11-06 10:00,1.8,2,1023.4,,
984,2020-11-06 11:00,5.3,5.7,1022.8,,
984,2020-11-06 12:00,5.1,5.3,1021.9,,
984,2020-11-06 13:00,3.8,4.2,1021.3,,
984,2020-11-06 14:00,3.6,4.1,1020.7,,
984,2020-11-06 15:00,3.5,3.8,1020.2,,
984,2020-11-06 16:00,3.9,4.2,1019.7,,
984,2020-11-06 17:00,3,3.2,1019.7,,
984,2020-11-06 18:00,.7,.8,1019.6,,
984,2020-11-06 19:00,.4,.4,1019.8,,
984,2020-11-06 20:00,0,0,1019.7,,
984,2020-11-06 21:00,2,2.2,1019.4,,
984,2020-11-06 22:00,1.8,1.9,1019.1,,
984,2020-11-06 23:00,1.3,1.5,1018.9,,
984,2020-11-07 00:00,1.9,2.1,1018.5,,
984,2020-11-07 01:00,2.9,3.1,1017.9,,
984,2020-11-07 02:00,2.4,3,1017.8,,
984,2020-11-07 03:00,3.6,4,1017.4,,
984,2020-11-07 04:00,2.4,2.6,1017.4,,
984,2020-11-07 05:00,2.8,2.9,1017.2,,
984,2020-11-07 06:00,3.1,3.3,1017.3,,
984,2020-11-07 07:00,2.6,2.8,1017.2,,
984,2020-11-07 08:00,4.8,5.3,1017.6,,
984,2020-11-07 09:00,3.3,3.7,1017.8,,
984,2020-11-07 10:00,.1,.4,1017.7,,
984,2020-11-07 11:00,1.4,1.5,1017,,
984,2020-11-07 12:00,3.8,3.9,1016.1,,
984,2020-11-07 13:00,4.8,5.2,1015.3,,
984,2020-11-07 14:00,6.5,6.9,1014.5,,
